120 reset|mat|power off and then power on a personal computer in order to fix a problem.
3D print|mat|use a 3D printer to make  from a digital model.
404|mpam|Not found
69|ana|sixty-nine in Arabic numerals
86|mat|the number eighty-six
86|mat|cancel an order for food.
@|mat|At the rate of; per.
@|mat|at a rate of
a|ana|house
a|ana|The first letter of the Afar alphabet
a|ana|or
a|ana|tree
a|ana|the
a|ana|to
a|ana|the .
a|ana|a
a|ana|he
a|ana|Marks the following verb to the preceding subject.
a|ana|and
a|ana|to
a|ana|I
a|ana|to
a|solo-ana|four
a|solo-ana|and
a|solo-ana|the
a|solo-ana|to
a|solo-ana|his
a|ana|at
a|ana|; a
a|ana|I
a|ana|you
a|ana|pig
a|ana|in
a|ana|but
a|ana|the first letter of the Latin alphabet.
a|mat|the
a|mat|he
a|mat|of
a|ana|I
a|ana|from
a|ana|to
a|ana|to
a|ana|and; but
a|tamb|he
a|tamb|a#_2_2|a
a|ana|from
a|ana|from
a|ana|ah:
a|ana|in
a|mat|at
a|solo-ana|: we
a|ana|crow
A-bomb|ana|An atomic bomb; a weapon that derives its energy from nuclear reactions and has enormous destructive power.
aah|ana|Indication of amazement or surprise or enthusiasm.
aah|ana|ford
ab|ana|</ref>
ab|ana|water
ab|ana|water
ab|mat|fish
ab|mat|ex
ab|mpam|Beginning at that time or location; from.
ab|ana|from
ab|ana|abbot
ab|ana|fire
ab|ana|from
ab|ana|or
ab|ana|shoulder
ab|ana|with
ab|ana|father
ab|ana|river
ab|ana|water
ab off|mat|abseil down a mountain.
abacinate|mat|blind by holding a red-hot metal rod or plate before the eyes
abade|ana|abbot
abade|ana|abbot
abade|ana|abbot
abalienate|mat|transfer the title of from one to another; to alienate.
aband|mat|<ref name=SOED/>
abandon|mat|<ref name=SOED/>
abandon|tamb|surrender
abandon|tamb|abandonment
abandon|ana|abandonment
abandon ship|mat|leave or forsake a ship
abase|mat|lower#Verb|lower
abash|mat|<ref name=SOED/>
abastard|mat|abastardize. </ref>
abastardize|mat|</ref>
abate|mat|<ref name=SOED/>
abate|ana|abbot
abate|ana|abbess
abate|mat|abbot or abbess
abate|mat|stray
abaxialize|mat|convert to abaxial form
abbreviate|mat|</ref>
abbreviate|mpam|Being abbreviated.
